"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 06:34:06 GMT 2023","Thu May 04 06:34:08 GMT 2023","2004","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"passed","Thu May 04 06:34:02 GMT 2023","Thu May 04 06:34:02 GMT 2023","6","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Thu May 04 06:34:04 GMT 2023","Thu May 04 06:34:06 GMT 2023","2007","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Thu May 04 06:34:02 GMT 2023","Thu May 04 06:34:03 GMT 2023","1032","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Thu May 04 06:34:02 GMT 2023","Thu May 04 06:34:02 GMT 2023","91","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Thu May 04 06:34:02 GMT 2023","Thu May 04 06:34:02 GMT 2023","9","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Thu May 04 06:34:02 GMT 2023","Thu May 04 06:34:02 GMT 2023","1","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"passed","Thu May 04 06:34:03 GMT 2023","Thu May 04 06:34:04 GMT 2023","1008","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
