"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu May 04 06:29:11 GMT 2023","Thu May 04 06:29:12 GMT 2023","1027","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCloseIssue","Closing new issue for authorized user",""
"passed","Thu May 04 06:29:12 GMT 2023","Thu May 04 06:29:14 GMT 2023","2005","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldCreatePullRequest","Creating new issue for authorized user",""
"passed","Thu May 04 06:29:10 GMT 2023","Thu May 04 06:29:10 GMT 2023","94","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Thu May 04 06:29:10 GMT 2023","Thu May 04 06:29:10 GMT 2023","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
"failed","Thu May 04 06:29:12 GMT 2023","Thu May 04 06:29:12 GMT 2023","4","","io.qameta.allure.PullRequestsWebTest","","io.qameta.allure.PullRequestsWebTest","shouldClosePullRequest","Deleting existing issue for authorized user",""
"passed","Thu May 04 06:29:10 GMT 2023","Thu May 04 06:29:10 GMT 2023","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldCreateUserNote","shouldCreateUserNote(String) Create issue via api",""
"passed","Thu May 04 06:29:10 GMT 2023","Thu May 04 06:29:11 GMT 2023","1028","","io.qameta.allure.IssuesWebTest","","io.qameta.allure.IssuesWebTest","shouldCreateIssue","Creating new issue authorized user",""
"passed","Thu May 04 06:29:10 GMT 2023","Thu May 04 06:29:10 GMT 2023","4","","io.qameta.allure.IssuesRestTest","","io.qameta.allure.IssuesRestTest","shouldDeleteUserNote","shouldDeleteUserNote(String) Close issue via api",""
